Bat_Position,Players,Bat_Matches,Bat_Innings,Bat_Not_Outs,Bat_Runs,Bat_Highest_Score,Bat_Average,Bat_Balls_Faced,Bat_Strike_Rate,Bat_Centuries,Bat_Fifties,Bat_Fours,Bat_Sixes

1,Vijay Shankar,18,15,9,313,63*,52.16,223,140.35,0,2,23,12
2,Jagadeesha Suchith,14,6,5,48,34*,48.00,32,150.00,0,0,4,2
3,Adam Voges,9,7,3,181,45*,45.25,143,126.57,0,0,15,3
4,Hashim Amla,16,16,3,577,104*,44.38,407,141.76,2,3,60,21
5,Iqbal Abdulla,49,13,11,88,33*,44.00,84,104.76,0,0,9,1
6,Kane Williamson,32,32,5,1146,89,42.44,834,137.41,0,11,99,39
7,Chris Gayle,112,111,14,3994,175*,41.17,"2,650",150.71,6,24,324,292
8,Paul Collingwood,8,7,2,203,75*,40.60,156,130.12,0,3,9,13
9,David Warner,114,114,15,4014,126,40.54,"2,824",142.13,3,36,401,160
10,MS Dhoni,175,158,58,4016,79*,40.16,"2,906",138.19,0,20,275,186
11,Lendl Simmons,29,29,2,1079,100*,39.96,852,126.64,1,11,109,44
12,Shaun Marsh,71,69,7,2477,115,39.95,"1,866",132.74,1,20,266,78
13,JP Duminy,83,77,26,2029,78*,39.78,"1,636",124.02,0,14,126,79
14,AB de Villiers,141,129,29,3953,133*,39.53,"2,619",150.93,3,28,326,186
15,Michael Hussey,59,58,7,1977,116*,38.76,"1,612",122.64,1,15,198,52
16,Lokesh Rahul,53,44,8,1384,95*,38.44,993,139.37,0,10,127,56
17,Virat Kohli,163,155,26,4948,113,38.35,"3,784",130.76,4,34,434,178
18,Chris Morris,52,33,20,485,82*,37.30,291,166.66,0,2,36,25
19,Kevin Pietersen,36,36,9,1001,103*,37.07,743,134.72,1,4,91,40
20,Steve Smith,69,62,16,1703,101,37.02,"1,293",131.70,1,5,150,45
21,Matthew Hayden,32,32,2,1107,93,36.90,805,137.51,0,8,121,44
22,Andrew Symonds,39,36,9,974,117*,36.07,750,129.86,1,5,74,41
23,Rishabh Pant,38,38,3,1248,128*,35.65,767,162.71,1,8,115,67
24,David Miller,69,67,21,1637,101*,35.58,"1,169",140.03,1,8,107,80
25,Chris Lynn,28,28,3,875,93*,35.00,620,141.12,0,6,87,41
26,Sachin Tendulkar,78,78,11,2334,100*,34.83,"1,948",119.81,1,13,295,29
27,Jos Buttler,37,37,6,1075,95*,34.67,714,150.56,0,6,102,47
28,Suresh Raina,176,172,27,4985,100*,34.37,"3,600",138.47,1,35,448,185
29,Shubman Gill,13,11,5,203,57*,33.83,139,146.04,0,1,22,5
